x,y,sensor_value
-100,50,0.109626261847886
-100,100,0.274927410033133
-100,150,2.90454596593975
-100,200,0.221902288664569
-100,250,0.174301610541727
-100,300,0.287372659320346
-100,350,0.20461208291593
-100,400,2.23023826770441
-100,450,0.178415735532095
-50,50,0.26764298374046
-50,100,0.376379979964564
-50,150,0.267625722431994
-50,200,2.70336133158665
-50,250,0.263751560453109
-50,300,0.367149572320269
-50,350,0.242182553748945
-50,400,0.163968790937813
-50,450,0.418901363951607
0,50,0.518304538799414
0,100,0.297105263157886
0,150,0.276803344378514
0,200,0.566963242660091
0,250,1.52002912845804
0,300,0.690307235878861
0,350,0.388199121522696
0,400,0.427799722586115
0,450,0.431915619942974
50,50,0.538507821530399
50,100,0.361320875394927
50,150,0.400145950527855
50,200,0.801809277953302
50,250,0.581141481081913
50,300,0.93383016105417
50,350,0.462673730446176
50,400,0.668907914001693
50,450,0.278006087693611
100,50,0.379010634198968
100,100,1.9733869153117
100,150,1.11875063574015
100,200,0.408795021961934
100,250,0.342267087924788
100,300,0.600502119133853
100,350,0.308281806272637
100,400,0.876614625876547
100,450,0.544443399861305
